STATIONS_ID;MESS_DATUM;QN_6;RS;RSF;SH_TAG;NSH_TAG;eor
          6;20230607;    3;   0.0;   0;   0;   0;eor
          6;20230608;    3;   0.0;   6;   0;   0;eor
          6;20230609;    3;   0.0;   0;   0;   0;eor
          6;20230610;    3;   0.0;   6;   0;   0;eor
          6;20230611;    3;   0.0;   0;   0;   0;eor
          6;20230612;    3;   0.0;   0;   0;   0;eor
          6;20230613;    3;   0.0;   0;   0;   0;eor
          6;20230614;    3;   0.0;   0;   0;   0;eor
          6;20230615;    3;   0.0;   0;   0;   0;eor
          6;20230616;    3;   0.0;   0;   0;   0;eor
          6;20230617;    3;   0.0;   0;   0;   0;eor
          6;20230618;    3;   0.0;   0;   0;   0;eor
          6;20230619;    3;   2.2;   6;   0;   0;eor
          6;20230620;    3;   1.0;   6;   0;   0;eor
          6;20230621;    3;   8.0;   6;   0;   0;eor
          6;20230622;    3;   2.7;   6;   0;   0;eor
          6;20230623;    3;   0.0;   6;   0;   0;eor
          6;20230624;    3;   0.0;   0;   0;   0;eor
          6;20230625;    3;   0.0;   0;   0;   0;eor
          6;20230626;    3;   0.0;   0;   0;   0;eor
          6;20230627;    3;   0.6;   6;   0;   0;eor
          6;20230628;    3;   0.0;   0;   0;   0;eor
          6;20230629;    3;   0.0;   6;   0;   0;eor
          6;20230630;    3;   3.6;   6;   0;   0;eor
          6;20230701;    3;   3.0;   6;   0;   0;eor
          6;20230702;    3;   0.0;   0;   0;   0;eor
          6;20230703;    3;   0.0;   0;   0;   0;eor
          6;20230704;    3;   1.2;   6;   0;   0;eor
          6;20230705;    3;   5.6;   6;   0;   0;eor
          6;20230706;    3;   0.0;   0;   0;   0;eor
          6;20230707;    3;   0.0;   0;   0;   0;eor
          6;20230708;    3;   0.0;   0;   0;   0;eor
          6;20230709;    3;   0.0;   0;   0;   0;eor
          6;20230710;    3;   0.0;   0;   0;   0;eor
          6;20230711;    3;  25.1;   6;   0;   0;eor
          6;20230712;    3;   0.0;   0;   0;   0;eor
          6;20230713;    3;   0.0;   0;   0;   0;eor
          6;20230714;    3;   0.0;   0;   0;   0;eor
          6;20230715;    3;  11.0;   6;   0;   0;eor
          6;20230716;    3;   0.1;   6;   0;   0;eor
          6;20230717;    3;   0.0;   0;   0;   0;eor
          6;20230718;    3;   1.1;   6;   0;   0;eor
          6;20230719;    3;   0.0;   0;   0;   0;eor
          6;20230720;    3;   0.0;   0;   0;   0;eor
          6;20230721;    3;   0.3;   6;   0;   0;eor
          6;20230722;    3;   0.0;   0;   0;   0;eor
          6;20230723;    3;   0.1;   6;   0;   0;eor
          6;20230724;    3;   2.1;   6;   0;   0;eor
          6;20230725;    3;   6.8;   6;   0;   0;eor
          6;20230726;    3;   2.8;   6;   0;   0;eor
          6;20230727;    3;   1.4;   6;   0;   0;eor
          6;20230728;    3;   3.8;   6;   0;   0;eor
          6;20230729;    3;  26.1;   6;   0;   0;eor
          6;20230730;    3;   7.1;   6;   0;   0;eor
          6;20230731;    3;   4.9;   6;   0;   0;eor
          6;20230801;    3;  17.5;   6;   0;   0;eor
          6;20230802;    3;  17.6;   6;   0;   0;eor
          6;20230803;    3;   0.0;   0;   0;   0;eor
          6;20230804;    3;  27.0;   6;   0;   0;eor
          6;20230805;    3;   6.7;   6;   0;   0;eor
